date,open,close,high,low,amount
2013-03-15,3.45,3.46,3.514,3.407,3259273.0
2013-03-18,3.407,3.403,3.467,3.4,936962.0
2013-03-19,3.41,3.425,3.425,3.357,1080499.0
2013-03-20,3.425,3.514,3.517,3.418,501195.0
2013-03-21,3.514,3.55,3.553,3.5,698243.0
2013-03-22,3.55,3.564,3.567,3.528,609433.0
2013-03-25,3.564,3.553,3.567,3.528,305027.0
2013-03-26,3.532,3.517,3.542,3.478,53697.0
2013-03-27,3.514,3.528,3.56,3.46,261329.0
2013-03-28,3.471,3.432,3.478,3.389,92337.0
2013-03-29,3.435,3.435,3.457,3.421,752012.0
2013-04-01,3.439,3.453,3.478,3.432,206580.0
2013-04-02,3.435,3.414,3.489,3.407,30990.0
2013-04-03,3.418,3.393,3.425,3.375,67983.0
2013-04-08,3.282,3.4,3.4,3.282,622151.0
2013-04-09,3.4,3.432,3.435,3.4,180616.0
2013-04-10,3.407,3.421,3.442,3.4,68805.0
2013-04-11,3.442,3.414,3.442,3.4,148657.0
2013-04-12,3.396,3.385,3.414,3.378,273677.0
2013-04-15,3.368,3.325,3.368,3.314,53917.0
2013-04-16,3.261,3.364,3.368,3.261,84854.0
2013-04-17,3.36,3.393,3.4,3.353,109547.0
2013-04-18,3.321,3.403,3.421,3.321,49991.0
2013-04-19,3.41,3.475,3.482,3.41,72931.0
2013-04-22,3.46,3.496,3.496,3.457,38986.0
2013-04-23,3.478,3.396,3.489,3.393,59785.0
2013-04-24,3.4,3.464,3.464,3.393,33109.0
2013-04-25,3.467,3.421,3.485,3.421,194565.0
2013-04-26,3.425,3.364,3.428,3.353,139316.0
2013-05-02,3.353,3.375,3.385,3.339,149678.0
2013-05-03,3.403,3.446,3.453,3.403,99260.0
2013-05-06,3.446,3.507,3.514,3.446,218749.0
2013-05-07,3.5,3.514,3.528,3.492,182404.0
2013-05-08,3.51,3.55,3.553,3.51,169100.0
2013-05-09,3.55,3.55,3.557,3.514,81280.0
2013-05-10,3.539,3.571,3.574,3.539,231993.0
2013-05-13,3.557,3.582,3.589,3.557,232168.0
2013-05-14,3.578,3.542,3.578,3.525,111260.0
2013-05-15,3.546,3.596,3.596,3.546,286415.0
2013-05-16,3.571,3.635,3.649,3.567,320783.0
2013-05-17,3.607,3.685,3.699,3.607,277022.0
2013-05-20,3.71,3.731,3.739,3.681,298204.0
2013-05-21,3.731,3.774,3.781,3.721,287894.0
2013-05-22,3.767,3.746,3.789,3.728,405935.0
2013-05-23,3.742,3.717,3.781,3.71,130442.0
2013-05-24,3.717,3.771,3.774,3.71,159659.0
2013-05-27,3.774,3.806,3.817,3.774,74176.0
2013-05-28,3.81,3.821,3.824,3.76,81982.0
2013-05-29,3.821,3.842,3.853,3.821,72716.0
2013-05-30,3.846,3.853,3.863,3.824,138719.0
2013-05-31,3.853,3.838,3.881,3.835,57540.0
2013-06-03,3.771,3.813,3.849,3.771,38302.0
2013-06-04,3.796,3.735,3.803,3.703,86852.0
2013-06-05,3.731,3.749,3.764,3.717,27112.0
2013-06-06,3.742,3.681,3.742,3.681,48548.0
2013-06-07,3.685,3.614,3.703,3.596,73538.0
2013-06-13,3.596,3.51,3.596,3.446,46611.0
2013-06-14,3.51,3.589,3.592,3.51,71501.0
2013-06-17,3.603,3.589,3.617,3.567,91162.0
2013-06-18,3.607,3.599,3.614,3.56,23272.0
2013-06-19,3.599,3.585,3.599,3.532,182892.0
2013-06-20,3.557,3.471,3.574,3.467,123985.0
2013-06-21,3.46,3.446,3.467,3.346,200856.0
2013-06-24,3.45,3.239,3.45,3.207,51935.0
2013-06-25,3.236,3.225,3.31,2.989,265349.0
2013-06-26,3.211,3.289,3.289,3.203,107005.0
2013-06-27,3.3,3.232,3.346,3.225,70676.0
2013-06-28,3.246,3.239,3.296,3.189,32684.0
2013-07-01,3.236,3.3,3.5,3.218,131081.0
2013-07-02,3.293,3.36,3.364,3.289,38897.0
2013-07-03,3.307,3.36,3.368,3.211,35897.0
2013-07-04,3.339,3.389,3.428,3.328,22959.0
2013-07-05,3.407,3.375,3.432,3.375,38722.0
2013-07-08,3.282,3.25,3.375,3.25,21116.0
2013-07-09,3.239,3.261,3.268,3.225,11147.0
2013-07-10,3.261,3.364,3.368,3.261,26172.0
2013-07-11,3.378,3.464,3.492,3.371,45124.0
2013-07-12,3.457,3.435,3.5,3.428,43731.0
2013-07-15,3.457,3.496,3.5,3.439,35475.0
2013-07-16,3.496,3.539,3.539,3.478,26874.0
2013-07-17,3.525,3.492,3.557,3.478,19628.0
2013-07-18,3.46,3.485,3.507,3.45,17654.0
2013-07-19,3.485,3.407,3.514,3.407,20164.0
2013-07-22,3.393,3.471,3.471,3.368,12800.0
2013-07-23,3.478,3.553,3.557,3.475,37278.0
2013-07-24,3.542,3.571,3.585,3.514,27967.0
2013-07-25,3.599,3.51,3.599,3.503,18895.0
2013-07-26,3.489,3.503,3.521,3.46,27177.0
2013-07-29,3.471,3.432,3.496,3.432,8542.0
2013-07-30,3.432,3.414,3.453,3.36,28636.0
2013-07-31,3.418,3.435,3.475,3.418,31049.0
2013-08-01,3.446,3.532,3.532,3.442,67233.0
2013-08-02,3.542,3.539,3.571,3.535,25837.0
2013-08-05,3.535,3.599,3.599,3.535,38804.0
2013-08-06,3.425,3.635,3.649,3.425,34761.0
2013-08-07,3.632,3.589,3.653,3.585,186074.0
2013-08-08,3.571,3.596,3.628,3.571,178030.0
2013-08-09,3.617,3.614,3.639,3.574,17844.0
2013-08-12,3.614,3.678,3.681,3.614,69251.0
2013-08-13,3.667,3.692,3.692,3.667,146122.0
2013-08-14,3.681,3.674,3.71,3.66,108316.0
2013-08-15,3.671,3.628,3.685,3.624,18041.0
2013-08-16,3.607,3.55,3.685,3.55,88424.0
2013-08-19,3.528,3.61,3.614,3.525,196288.0
2013-08-20,3.599,3.589,3.632,3.582,15723.0
2013-08-21,3.589,3.614,3.621,3.585,11203.0
2013-08-22,3.621,3.632,3.646,3.61,30062.0
2013-08-23,3.571,3.621,3.657,3.56,28488.0
2013-08-26,3.628,3.699,3.703,3.621,46370.0
2013-08-27,3.696,3.728,3.728,3.692,38816.0
2013-08-28,3.706,3.706,3.739,3.642,30967.0
2013-08-29,3.706,3.706,3.717,3.674,26616.0
2013-08-30,3.696,3.667,3.728,3.649,65510.0
2013-09-02,3.681,3.674,3.692,3.639,13613.0
2013-09-03,3.66,3.746,3.753,3.66,93157.0
2013-09-04,3.739,3.742,3.76,3.717,31259.0
2013-09-05,3.717,3.764,3.774,3.714,68317.0
2013-09-06,3.735,3.792,3.799,3.731,130805.0
2013-09-09,3.81,3.821,3.835,3.749,49635.0
2013-09-10,3.821,3.853,3.863,3.81,33417.0
2013-09-11,3.86,3.838,3.874,3.71,18575.0
2013-09-12,3.567,3.817,3.86,3.567,35975.0
2013-09-13,3.817,3.828,3.881,3.796,17389.0
2013-09-16,3.803,3.824,3.863,3.803,17141.0
2013-09-17,3.824,3.813,3.831,3.799,10073.0
2013-09-18,3.803,3.824,3.849,3.778,6230.0
2013-09-23,3.817,3.899,3.913,3.817,30001.0
2013-09-24,3.92,3.899,3.92,3.86,21242.0
2013-09-25,3.874,3.906,3.931,3.874,59829.0
2013-09-26,3.853,3.86,3.906,3.838,12005.0
2013-09-27,3.821,3.838,3.856,3.817,6895.0
2013-09-30,3.846,3.92,3.92,3.838,16588.0
2013-10-08,3.885,3.935,3.938,3.756,31137.0
2013-10-09,3.935,3.981,3.981,3.924,41980.0
2013-10-10,4.006,3.963,4.006,3.899,121992.0
2013-10-11,3.931,4.024,4.024,3.931,37673.0
2013-10-14,4.045,4.063,4.067,4.028,51590.0
2013-10-15,4.067,4.074,4.081,4.042,24693.0
2013-10-16,4.042,3.96,4.049,3.942,130854.0
2013-10-17,3.992,3.931,4.01,3.924,287498.0
2013-10-18,3.978,3.97,3.978,3.931,34285.0
2013-10-21,3.97,4.067,4.067,3.963,35083.0
2013-10-22,4.028,4.028,4.085,4.017,30904.0
2013-10-23,4.028,3.928,4.049,3.903,108346.0
2013-10-24,3.906,3.913,3.931,3.885,124675.0
2013-10-25,3.91,3.81,3.91,3.789,53354.0
2013-10-28,3.817,3.803,3.828,3.778,32391.0
2013-10-29,3.781,3.699,3.828,3.607,96133.0
2013-10-30,3.696,3.76,3.764,3.685,33873.0
2013-10-31,3.764,3.717,3.764,3.714,19223.0
2013-11-01,3.749,3.703,3.749,3.664,19411.0
2013-11-04,3.71,3.721,3.742,3.706,22815.0
2013-11-05,3.703,3.771,3.774,3.685,25237.0
2013-11-06,3.749,3.742,3.799,3.739,12914.0
2013-11-07,3.731,3.685,3.731,3.678,18133.0
2013-11-08,3.685,3.632,3.685,3.621,8453.0
2013-11-11,3.639,3.646,3.657,3.603,623468.0
2013-11-12,3.653,3.674,3.674,3.635,42778.0
2013-11-13,3.674,3.614,3.674,3.607,49477.0
2013-11-14,3.592,3.657,3.657,3.578,68331.0
2013-11-15,3.657,3.735,3.764,3.657,88916.0
2013-11-18,3.771,3.821,3.824,3.749,89993.0
2013-11-19,3.817,3.838,3.849,3.806,133264.0
2013-11-20,3.849,3.878,3.878,3.824,87511.0
2013-11-21,3.878,3.863,3.878,3.835,72574.0
2013-11-22,3.863,3.842,3.881,3.835,73641.0
2013-11-25,3.842,3.828,3.871,3.817,155993.0
2013-11-26,3.842,3.842,3.846,3.813,38927.0
2013-11-27,3.831,3.881,3.885,3.831,64951.0
2013-11-28,3.878,3.92,3.942,3.878,121066.0
2013-11-29,3.945,3.938,3.945,3.913,47253.0
2013-12-02,3.853,3.771,3.899,3.567,97495.0
2013-12-03,3.657,3.853,3.856,3.657,75557.0
2013-12-04,3.853,3.924,3.953,3.853,69696.0
2013-12-05,3.913,3.924,3.949,3.792,16409.0
2013-12-06,3.874,3.917,3.931,3.874,27764.0
2013-12-09,3.931,3.942,4.138,3.917,35462.0
2013-12-10,3.945,3.942,3.96,3.924,41106.0
2013-12-11,3.942,3.903,3.942,3.878,29657.0
2013-12-12,3.896,3.91,3.938,3.896,34119.0
2013-12-13,3.799,3.917,3.924,3.789,50653.0
2013-12-16,3.917,3.849,3.92,3.846,33396.0
2013-12-17,3.849,3.824,3.849,3.813,62821.0
2013-12-18,3.828,3.817,3.842,3.813,16481.0
