,date,open,close,high,low,amount,pcnt,pcnt_real_time
0,2013-10-28,0.243,0.24,0.243,0.24,683645.0,,1.250000000000001
1,2013-10-29,0.239,0.238,0.243,0.233,321852.0,-0.8403361344537823,4.2016806722689
2,2013-10-30,0.238,0.241,0.241,0.238,188323.0,1.2448132780082999,4.149377593360988
3,2013-10-31,0.241,0.236,0.241,0.235,48462.0,-2.118644067796612,2.5423728813559343
4,2013-11-01,0.235,0.239,0.24,0.235,69316.0,1.2552301255230138,2.5104602510460277
5,2013-11-04,0.239,0.234,0.239,0.234,99348.0,-2.136752136752127,2.564102564102554
6,2013-11-05,0.232,0.235,0.235,0.231,133686.0,0.4255319148936056,3.4042553191489278
7,2013-11-06,0.234,0.231,0.234,0.231,61142.0,-1.7316017316017212,1.7316017316017212
8,2013-11-07,0.23,0.227,0.23,0.225,81811.0,-1.7621145374449354,3.9647577092511046
9,2013-11-08,0.225,0.223,0.227,0.223,59876.0,-1.793721973094172,3.139013452914801
10,2013-11-11,0.21,0.23,0.23,0.21,67117.0,3.0434782608695676,8.69565217391305
11,2013-11-12,0.23,0.233,0.234,0.23,73821.0,1.2875536480686707,10.300429184549365
12,2013-11-13,0.233,0.229,0.233,0.228,29643.0,-1.746724890829696,2.6200873362445436
13,2013-11-14,0.229,0.232,0.235,0.229,48820.0,1.293103448275863,3.0172413793103354
14,2013-11-15,0.233,0.234,0.237,0.233,63717.0,0.8547008547008554,3.41880341880341
15,2013-11-18,0.234,0.235,0.237,0.234,47067.0,0.4255319148936056,1.702127659574458
16,2013-11-19,0.235,0.234,0.235,0.234,15831.0,-0.42735042735041584,1.2820512820512713
17,2013-11-20,0.235,0.235,0.236,0.233,13284.0,0.4255319148936056,1.2765957446808405
18,2013-11-21,0.233,0.235,0.235,0.233,24859.0,0.0,1.2765957446808405
19,2013-11-22,0.235,0.233,0.235,0.232,30279.0,-0.858369098712435,1.2875536480686587
20,2013-11-25,0.232,0.234,0.234,0.232,25072.0,0.4273504273504277,1.2820512820512713
21,2013-11-26,0.233,0.233,0.235,0.233,36312.0,-0.4291845493562235,1.2875536480686587
22,2013-11-27,0.234,0.235,0.236,0.233,44435.0,0.851063829787223,1.2765957446808405
23,2013-11-28,0.235,0.237,0.238,0.235,57627.0,0.8438818565400852,2.109704641350201
24,2013-11-29,0.236,0.238,0.24,0.236,81095.0,0.42016806722689115,2.1008403361344556
25,2013-12-02,0.236,0.232,0.238,0.232,51396.0,-2.5862068965517144,3.4482758620689564
26,2013-12-03,0.232,0.237,0.239,0.232,37568.0,2.109704641350201,2.9535864978902864
27,2013-12-04,0.238,0.24,0.242,0.237,62465.0,1.250000000000001,4.166666666666659
28,2013-12-05,0.241,0.241,0.241,0.239,22003.0,0.41493775933609994,2.0746887966805
29,2013-12-06,0.24,0.241,0.242,0.24,23659.0,0.0,1.2448132780082999
30,2013-12-09,0.242,0.24,0.243,0.239,15651.0,-0.4166666666666671,1.6666666666666683
31,2013-12-10,0.24,0.238,0.24,0.237,23222.0,-0.8403361344537823,2.521008403361347
32,2013-12-11,0.237,0.236,0.237,0.235,16857.0,-0.8474576271186449,2.118644067796612
33,2013-12-12,0.237,0.239,0.239,0.236,9564.0,1.2552301255230138,1.6736401673640184
34,2013-12-13,0.236,0.238,0.239,0.236,22952.0,-0.42016806722689115,1.2605042016806736
35,2013-12-16,0.238,0.235,0.239,0.235,26337.0,-1.2765957446808522,1.7021276595744699
36,2013-12-17,0.234,0.236,0.237,0.234,29474.0,0.42372881355932246,2.1186440677966005
37,2013-12-18,0.236,0.237,0.238,0.236,14371.0,0.4219409282700426,1.6877637130801586
38,2013-12-19,0.237,0.234,0.237,0.234,54436.0,-1.2820512820512713,1.7094017094016989
