date,open,close,high,low,amount,pcnt,pcnt_real_time
2019-05-06,0.472,0.454,0.492,0.454,184842.0,,8.370044052863431
2019-05-07,0.458,0.476,0.481,0.458,203258.0,4.621848739495791,7.98319327731092
2019-05-08,0.47,0.477,0.488,0.463,219402.0,0.20964360587002115,6.289308176100623
2019-05-09,0.469,0.458,0.475,0.451,222401.0,-4.148471615720515,8.07860262008733
2019-05-10,0.464,0.484,0.488,0.463,290585.0,5.371900826446274,7.644628099173549
2019-05-13,0.483,0.486,0.491,0.471,248063.0,0.41152263374485637,5.761316872427978
2019-05-14,0.475,0.482,0.49,0.475,148898.0,-0.8298755186721999,4.149377593361
2019-05-15,0.486,0.51,0.512,0.486,1168682.0,5.490196078431377,7.25490196078432
2019-05-16,0.507,0.516,0.52,0.501,498980.0,1.1627906976744196,6.589147286821712
2019-05-17,0.514,0.5,0.519,0.496,407515.0,-3.200000000000003,4.800000000000004
2019-05-20,0.5,0.488,0.5,0.477,292635.0,-2.4590163934426252,8.606557377049189
2019-05-21,0.489,0.496,0.501,0.478,278966.0,1.6129032258064528,4.8387096774193585
2019-05-22,0.495,0.49,0.497,0.485,330625.0,-1.2244897959183685,4.693877551020412
2019-05-23,0.485,0.473,0.489,0.47,293914.0,-3.594080338266388,5.70824524312897
2019-05-24,0.471,0.479,0.485,0.471,199727.0,1.2526096033402934,3.9665970772442627
2019-05-27,0.477,0.483,0.484,0.469,320208.0,0.828157349896481,3.312629399585924
2019-05-28,0.482,0.483,0.491,0.478,266245.0,0.0,4.554865424430646
2019-05-29,0.482,0.489,0.494,0.48,201843.0,1.226993865030676,3.2719836400818028
2019-05-30,0.489,0.486,0.491,0.478,233045.0,-0.6172839506172845,3.292181069958851
2019-05-31,0.486,0.48,0.486,0.477,177042.0,-1.250000000000001,2.9166666666666696
2019-06-03,0.482,0.475,0.485,0.473,310763.0,-1.0526315789473695,2.7368421052631606
2019-06-04,0.475,0.462,0.476,0.46,285965.0,-2.813852813852804,5.411255411255404
2019-06-05,0.466,0.463,0.469,0.461,141509.0,0.2159827213822896,3.4557235421166217
2019-06-06,0.468,0.458,0.468,0.456,158160.0,-1.09170305676856,2.8384279475982437
2019-06-10,0.458,0.467,0.47,0.451,208043.0,1.9271948608137062,4.068522483940034
2019-06-11,0.467,0.491,0.494,0.467,402545.0,4.887983706720971,8.757637474541747
2019-06-12,0.488,0.485,0.491,0.482,158733.0,-1.2371134020618568,5.567010309278344
2019-06-13,0.485,0.483,0.486,0.476,145495.0,-0.4140786749482405,3.105590062111804
2019-06-14,0.48,0.478,0.49,0.476,159794.0,-1.0460251046025115,2.9288702928870323
2019-06-17,0.476,0.475,0.481,0.47,142286.0,-0.6315789473684217,4.210526315789478
2019-06-18,0.476,0.475,0.478,0.469,101080.0,0.0,2.5263157894736867
2019-06-19,0.49,0.482,0.493,0.481,199079.0,1.4522821576763498,4.9792531120331995
2019-06-20,0.482,0.502,0.505,0.48,359505.0,3.984063745019924,4.980079681274905
2019-06-21,0.502,0.507,0.51,0.498,247011.0,0.9861932938856024,5.917159763313615
2019-06-24,0.505,0.514,0.522,0.502,385853.0,1.3618677042801568,4.669260700389109
2019-06-25,0.511,0.514,0.518,0.502,243322.0,0.0,3.891050583657591
2019-06-26,0.508,0.514,0.515,0.508,158928.0,0.0,3.1128404669260727
2019-06-27,0.513,0.532,0.537,0.513,503121.0,3.383458646616544,5.451127819548876
2019-06-28,0.529,0.532,0.537,0.525,283866.0,0.0,4.5112781954887256
2019-07-01,0.545,0.559,0.56,0.541,261430.0,4.830053667262973,6.261180679785336
2019-07-02,0.554,0.559,0.563,0.551,232742.0,0.0,3.9355992844364773
2019-07-03,0.557,0.548,0.569,0.541,328240.0,-2.0072992700729944,5.109489051094875
2019-07-04,0.542,0.54,0.549,0.532,222546.0,-1.4814814814814827,6.851851851851837
2019-07-05,0.539,0.553,0.557,0.538,246398.0,2.3508137432188083,4.520795660036169
2019-07-08,0.55,0.542,0.551,0.534,248981.0,-2.029520295202954,4.243542435424358
2019-07-09,0.54,0.546,0.557,0.54,215072.0,0.7326007326007332,4.212454212454216
2019-07-10,0.546,0.548,0.553,0.545,130870.0,0.3649635036496353,3.1021897810219
2019-07-11,0.55,0.542,0.554,0.54,212125.0,-1.107011070110702,2.583025830258305
2019-07-12,0.54,0.549,0.551,0.54,187492.0,1.2750455373406202,2.5500910746812404
2019-07-15,0.545,0.545,0.546,0.53,200496.0,-0.733944954128441,3.853211009174315
2019-07-16,0.544,0.538,0.547,0.536,176170.0,-1.3011152416356888,3.159851301115244
2019-07-17,0.537,0.537,0.541,0.533,130029.0,-0.18621973929236513,2.607076350093112
2019-07-18,0.532,0.528,0.537,0.527,184109.0,-1.704545454545456,2.6515151515151536
2019-07-19,0.53,0.533,0.537,0.528,127364.0,0.9380863039399633,1.8761726078799266
2019-07-22,0.534,0.53,0.535,0.526,200973.0,-0.566037735849057,2.0754716981132093
2019-07-23,0.53,0.524,0.53,0.515,186978.0,-1.1450381679389323,3.8167938931297747
2019-07-24,0.522,0.523,0.528,0.521,205300.0,-0.191204588910134,2.8680688336520097
2019-07-25,0.523,0.53,0.53,0.515,314048.0,1.3207547169811331,2.8301886792452855
2019-07-26,0.526,0.528,0.533,0.523,199828.0,-0.3787878787878791,3.409090909090912
2019-07-29,0.529,0.534,0.535,0.526,203739.0,1.1235955056179785,2.247191011235957
2019-07-30,0.534,0.532,0.536,0.529,156638.0,-0.37593984962406046,1.8796992481203023
2019-07-31,0.53,0.523,0.534,0.522,200238.0,-1.720841300191206,2.6768642447418762
2019-08-01,0.52,0.515,0.523,0.512,191477.0,-1.5533980582524285,4.271844660194178
2019-08-02,0.502,0.51,0.513,0.502,229761.0,-0.980392156862746,4.1176470588235325
2019-08-05,0.505,0.501,0.512,0.5,171361.0,-1.7964071856287442,2.5948103792415194
2019-08-06,0.495,0.505,0.507,0.488,291943.0,0.7920792079207928,4.752475247524757
2019-08-07,0.509,0.503,0.51,0.502,97291.0,-0.39761431411530856,4.373757455268393
2019-08-08,0.503,0.513,0.515,0.503,211180.0,1.9493177387914247,2.534113060428852
2019-08-09,0.517,0.505,0.518,0.503,127407.0,-1.5841584158415856,2.970297029702973
2019-08-12,0.511,0.519,0.52,0.511,307793.0,2.6974951830443183,3.2755298651252436
2019-08-13,0.516,0.517,0.518,0.513,113398.0,-0.386847195357834,1.7408123791102528
2019-08-14,0.523,0.53,0.532,0.522,173602.0,2.452830188679247,3.5849056603773612
2019-08-15,0.521,0.528,0.528,0.518,178153.0,-0.3787878787878791,2.6515151515151536
2019-08-16,0.527,0.537,0.543,0.525,219765.0,1.6759776536312863,4.6554934823091285
2019-08-19,0.54,0.543,0.544,0.533,251713.0,1.1049723756906085,3.4990791896869275
2019-08-20,0.543,0.549,0.55,0.538,163809.0,1.0928961748633887,3.096539162112935
2019-08-21,0.549,0.543,0.55,0.542,148122.0,-1.1049723756906085,2.209944751381217
2019-08-22,0.544,0.555,0.556,0.544,202702.0,2.162162162162164,2.5225225225225243
2019-08-23,0.554,0.555,0.559,0.55,158673.0,0.0,2.702702702702705
2019-08-26,0.546,0.544,0.549,0.541,210244.0,-2.0220588235294135,3.3088235294117676
2019-08-27,0.548,0.557,0.561,0.548,166774.0,2.333931777378817,3.590664272890488
2019-08-28,0.556,0.556,0.566,0.549,162222.0,-0.1798561151079138,3.2374100719424286
2019-08-29,0.557,0.563,0.565,0.554,125823.0,1.2433392539964292,3.01953818827707
2019-08-30,0.565,0.575,0.584,0.564,398563.0,2.086956521739132,5.217391304347812
2019-09-02,0.575,0.577,0.577,0.563,235199.0,0.34662045060658614,3.6395147313691543
2019-09-03,0.575,0.571,0.578,0.564,303865.0,-1.0507880910683023,2.6269702276707556
2019-09-04,0.567,0.564,0.571,0.558,257039.0,-1.2411347517730509,3.5460992907801256
2019-09-05,0.563,0.567,0.571,0.563,257201.0,0.5291005291005296,2.2927689594356084
2019-09-06,0.568,0.566,0.568,0.558,161429.0,-0.17667844522968215,2.2968197879858483
2019-09-09,0.566,0.566,0.57,0.564,166096.0,0.0,2.1201413427561664
2019-09-10,0.564,0.564,0.568,0.559,145679.0,-0.35460992907801453,1.9503546099290603
2019-09-11,0.562,0.543,0.564,0.54,623697.0,-3.8674033149171096,5.15653775322282
2019-09-12,0.54,0.551,0.554,0.539,410857.0,1.4519056261343024,4.537205081669675
2019-09-16,0.55,0.549,0.553,0.544,150206.0,-0.36429872495446297,2.732240437158472
2019-09-17,0.548,0.549,0.555,0.546,182046.0,0.0,2.0036429872495463
2019-09-18,0.55,0.569,0.57,0.55,469108.0,3.5149384885764334,4.2179261862917246
2019-09-19,0.567,0.57,0.571,0.56,263670.0,0.17543859649122825,3.684210526315774
2019-09-20,0.57,0.572,0.578,0.568,227881.0,0.34965034965035,3.1468531468531307
2019-09-23,0.57,0.565,0.57,0.56,201502.0,-1.2389380530973464,3.185840707964585
2019-09-24,0.565,0.579,0.583,0.565,320907.0,2.4179620034542335,3.972366148531936
2019-09-25,0.575,0.574,0.583,0.57,544570.0,-0.8710801393728231,3.135888501742163
2019-09-26,0.574,0.566,0.582,0.563,629458.0,-1.4134275618374572,3.5335689045936434
2019-09-27,0.565,0.568,0.573,0.554,310417.0,0.3521126760563384,4.929577464788718
2019-09-30,0.564,0.558,0.57,0.556,414291.0,-1.7921146953404834,3.4050179211469365
2019-10-08,0.557,0.566,0.577,0.557,287083.0,1.4134275618374377,3.7102473498233057
2019-10-09,0.566,0.56,0.566,0.555,185777.0,-1.0714285714285525,3.928571428571412
2019-10-10,0.555,0.562,0.563,0.547,151531.0,0.35587188612099674,3.380782918149449
2019-10-11,0.561,0.562,0.569,0.558,170488.0,0.0,3.9145907473309443
2019-10-14,0.568,0.563,0.568,0.56,164088.0,0.17761989342804438,1.9538188277086854
2019-10-15,0.563,0.572,0.574,0.558,348138.0,1.5734265734265749,2.7972027972027806
2019-10-16,0.565,0.561,0.565,0.557,427090.0,-1.9607843137254721,3.030303030303013
2019-10-17,0.562,0.562,0.565,0.557,107754.0,0.17793594306049837,1.4234875444839672
2019-10-18,0.56,0.553,0.56,0.55,241498.0,-1.6274864376130211,2.712477396021682
2019-10-21,0.55,0.554,0.555,0.547,124638.0,0.180505415162455,2.346570397111915
2019-10-22,0.555,0.555,0.558,0.551,81697.0,0.18018018018018034,1.9819819819819835
2019-10-23,0.555,0.545,0.558,0.543,179296.0,-1.8348623853211024,2.7522935779816535
2019-10-24,0.545,0.539,0.548,0.536,181656.0,-1.113172541743971,4.081632653061227
2019-10-25,0.539,0.547,0.549,0.537,176786.0,1.4625228519195625,2.3765996343692892
2019-10-28,0.543,0.557,0.56,0.541,266815.0,1.795332136445244,4.129263913824061
2019-10-29,0.558,0.561,0.566,0.555,154088.0,0.7130124777183606,4.456327985739734
2019-10-30,0.559,0.557,0.56,0.551,221178.0,-0.7181328545780975,2.6929982046678456
2019-10-31,0.56,0.558,0.568,0.556,138193.0,0.17921146953405034,3.046594982078836
2019-11-01,0.557,0.567,0.568,0.556,146417.0,1.5873015873015692,2.116402116402099
2019-11-04,0.568,0.572,0.578,0.568,219096.0,0.8741258741258751,3.8461538461538303
2019-11-05,0.572,0.573,0.577,0.568,166328.0,0.1745200698080281,1.745200698080281
2019-11-06,0.572,0.568,0.576,0.567,116118.0,-0.880281690140846,1.760563380281692
2019-11-07,0.568,0.574,0.575,0.568,111009.0,1.0452961672473877,1.5679442508710815
2019-11-08,0.58,0.576,0.583,0.575,159553.0,0.34722222222222254,2.604166666666669
2019-11-11,0.575,0.57,0.577,0.567,159115.0,-1.0526315789473695,2.807017543859652
2019-11-12,0.57,0.575,0.575,0.567,164196.0,0.8695652173913052,1.7391304347826104
2019-11-13,0.576,0.581,0.584,0.574,130290.0,1.0327022375215156,2.9259896729776274
2019-11-14,0.58,0.588,0.592,0.578,138700.0,1.1904761904761916,3.0612244897959213
2019-11-15,0.587,0.585,0.588,0.583,116402.0,-0.5128205128205133,2.3931623931623953
2019-11-18,0.584,0.588,0.589,0.579,343160.0,0.5102040816326535,1.700680272108845
2019-11-19,0.587,0.592,0.593,0.587,85938.0,0.6756756756756763,2.364864864864867
2019-11-20,0.591,0.594,0.599,0.589,101523.0,0.33670033670033706,2.020202020202022
2019-11-21,0.591,0.591,0.596,0.589,63011.0,-0.5076142131979701,1.692047377326567
2019-11-22,0.589,0.576,0.593,0.571,151478.0,-2.604166666666669,4.340277777777782
2019-11-25,0.575,0.576,0.578,0.564,122367.0,0.0,5.034722222222228
2019-11-26,0.575,0.58,0.583,0.575,150630.0,0.6896551724137938,3.2758620689655205
2019-11-27,0.579,0.581,0.585,0.578,101694.0,0.17211703958691926,1.7211703958691926
2019-11-28,0.582,0.581,0.585,0.577,91842.0,0.0,1.376936316695354
2019-11-29,0.579,0.566,0.58,0.559,266437.0,-2.650176678445232,4.593639575971716
2019-12-02,0.563,0.566,0.57,0.563,86507.0,0.0,3.7102473498233057
2019-12-03,0.567,0.564,0.567,0.557,123578.0,-0.35460992907801453,2.3049645390070745
2019-12-04,0.57,0.568,0.573,0.566,103371.0,0.7042253521126768,2.816901408450687
2019-12-05,0.569,0.568,0.57,0.565,158995.0,0.0,1.4084507042253536
2019-12-06,0.568,0.581,0.582,0.568,266507.0,2.2375215146299503,2.9259896729776274
2019-12-09,0.581,0.577,0.581,0.575,176700.0,-0.6932409012131723,2.426343154246103
2019-12-10,0.577,0.576,0.578,0.573,143981.0,-0.17361111111111127,1.3888888888888902
2019-12-11,0.576,0.572,0.577,0.569,135774.0,-0.6993006993007,1.5734265734265749
2019-12-12,0.571,0.571,0.572,0.568,134074.0,-0.1751313485113837,1.5761821366024533
2019-12-13,0.573,0.579,0.579,0.573,303588.0,1.3816925734024192,1.8998272884283265
2019-12-16,0.579,0.577,0.579,0.571,278469.0,-0.34662045060658614,1.3864818024263446
2019-12-17,0.575,0.581,0.581,0.572,389552.0,0.688468158347677,1.7211703958691926
2019-12-18,0.581,0.58,0.585,0.578,286961.0,-0.17241379310344845,2.2413793103448296
2019-12-19,0.579,0.577,0.58,0.573,151567.0,-0.5199306759098792,2.0797227036395167
