,date,open,close,high,low,amount,pcnt,pcnt_real_time
0,2013-09-16,0.25,0.247,0.251,0.245,1567034.0,,2.4291497975708523
1,2013-09-17,0.246,0.243,0.247,0.242,300758.0,-1.6460905349794255,3.703703703703707
2,2013-09-18,0.242,0.246,0.246,0.241,538139.0,1.2195121951219523,2.4390243902439046
3,2013-09-23,0.246,0.249,0.25,0.245,427239.0,1.204819277108435,3.6144578313253044
4,2013-09-24,0.249,0.251,0.252,0.247,739878.0,0.7968127490039847,2.7888446215139466
5,2013-09-25,0.251,0.251,0.252,0.25,572293.0,0.0,1.992031872509962
6,2013-09-26,0.249,0.252,0.253,0.249,566493.0,0.39682539682539714,1.5873015873015885
7,2013-09-27,0.25,0.251,0.252,0.25,218762.0,-0.39840637450199234,1.5936254980079694
8,2013-09-30,0.251,0.254,0.254,0.25,350663.0,1.1811023622047254,1.5748031496063006
9,2013-10-08,0.254,0.257,0.257,0.252,604864.0,1.1673151750972772,2.7237354085603136
10,2013-10-09,0.257,0.259,0.259,0.255,416972.0,0.7722007722007729,2.702702702702705
11,2013-10-10,0.259,0.259,0.261,0.258,487474.0,0.0,2.3166023166023186
12,2013-10-11,0.258,0.262,0.263,0.258,541778.0,1.1450381679389323,1.9083969465648873
13,2013-10-14,0.263,0.267,0.268,0.263,553447.0,1.872659176029964,3.745318352059928
14,2013-10-15,0.267,0.271,0.271,0.266,330621.0,1.4760147601476026,2.952029520295205
15,2013-10-16,0.27,0.265,0.27,0.263,147424.0,-2.264150943396228,3.0188679245283043
16,2013-10-17,0.265,0.265,0.267,0.263,368718.0,0.0,2.6415094339622662
17,2013-10-18,0.264,0.266,0.266,0.263,75467.0,0.37593984962406046,1.5037593984962419
18,2013-10-21,0.267,0.275,0.276,0.267,243132.0,3.272727272727275,4.727272727272731
19,2013-10-22,0.277,0.272,0.277,0.271,151194.0,-1.1029411764705892,3.676470588235297
20,2013-10-23,0.271,0.264,0.273,0.263,80728.0,-3.030303030303033,5.303030303030307
21,2013-10-24,0.264,0.26,0.265,0.26,61580.0,-1.5384615384615397,5.000000000000004
22,2013-10-25,0.261,0.254,0.262,0.253,114208.0,-2.362204724409451,4.724409448818902
23,2013-10-28,0.255,0.252,0.262,0.251,72519.0,-0.7936507936507943,4.365079365079369
24,2013-10-29,0.252,0.249,0.254,0.244,39723.0,-1.204819277108435,7.228915662650609
25,2013-10-30,0.249,0.252,0.253,0.249,28056.0,1.1904761904761914,3.9682539682539715
26,2013-10-31,0.253,0.246,0.253,0.246,42539.0,-2.4390243902439046,2.8455284552845557
27,2013-11-01,0.246,0.246,0.247,0.242,164894.0,0.0,4.471544715447159
28,2013-11-04,0.247,0.245,0.248,0.245,41078.0,-0.40816326530612285,2.448979591836737
29,2013-11-05,0.245,0.247,0.247,0.242,30652.0,0.8097165991902842,2.4291497975708523
30,2013-11-06,0.247,0.245,0.248,0.245,27551.0,-0.8163265306122457,2.448979591836737
31,2013-11-07,0.245,0.242,0.245,0.241,23302.0,-1.2396694214876043,2.8925619834710767
32,2013-11-08,0.241,0.239,0.242,0.239,23979.0,-1.2552301255230138,2.5104602510460277
33,2013-11-11,0.239,0.244,0.244,0.238,86011.0,2.0491803278688545,2.4590163934426252
34,2013-11-12,0.243,0.245,0.247,0.242,50187.0,0.40816326530612285,3.6734693877551052
35,2013-11-13,0.245,0.241,0.245,0.241,43056.0,-1.6597510373443998,2.4896265560165998
36,2013-11-14,0.242,0.244,0.245,0.241,25073.0,1.2295081967213126,1.6393442622950833
37,2013-11-15,0.245,0.249,0.251,0.245,74409.0,2.008032128514058,4.016064257028116
38,2013-11-18,0.25,0.255,0.255,0.25,43357.0,2.35294117647059,3.921568627450984
39,2013-11-19,0.255,0.251,0.255,0.25,25477.0,-1.5936254980079694,1.992031872509962
40,2013-11-20,0.253,0.252,0.253,0.251,9386.0,0.39682539682539714,1.9841269841269857
41,2013-11-21,0.252,0.25,0.252,0.248,18783.0,-0.8000000000000007,2.0000000000000018
42,2013-11-22,0.25,0.249,0.251,0.249,45322.0,-0.40160642570281163,1.6064257028112465
43,2013-11-25,0.249,0.249,0.251,0.248,17968.0,0.0,1.204819277108435
44,2013-11-26,0.249,0.249,0.249,0.248,48461.0,0.0,1.204819277108435
45,2013-11-27,0.249,0.25,0.25,0.248,7787.0,0.40000000000000036,0.8000000000000007
46,2013-11-28,0.249,0.253,0.255,0.249,38089.0,1.1857707509881432,2.7667984189723343
47,2013-11-29,0.253,0.253,0.254,0.251,10058.0,0.0,2.3715415019762864
48,2013-12-02,0.25,0.244,0.252,0.244,50585.0,-3.688524590163938,4.098360655737709
49,2013-12-03,0.246,0.25,0.25,0.245,33038.0,2.400000000000002,3.200000000000003
50,2013-12-04,0.249,0.252,0.254,0.249,34698.0,0.7936507936507943,3.5714285714285747
51,2013-12-05,0.257,0.253,0.257,0.253,34199.0,0.39525691699604776,3.162055335968382
52,2013-12-06,0.253,0.253,0.254,0.252,55666.0,0.0,1.9762845849802388
53,2013-12-09,0.253,0.254,0.254,0.252,11335.0,0.39370078740157516,0.7874015748031503
54,2013-12-10,0.251,0.254,0.255,0.251,13763.0,0.0,1.5748031496063006
55,2013-12-11,0.254,0.252,0.254,0.251,15865.0,-0.7936507936507943,1.5873015873015885
56,2013-12-12,0.251,0.251,0.253,0.251,12923.0,-0.39840637450199234,1.195219123505977
57,2013-12-13,0.251,0.251,0.252,0.249,13932.0,0.0,1.5936254980079694
58,2013-12-16,0.251,0.246,0.251,0.246,21385.0,-2.0325203252032535,2.4390243902439046
59,2013-12-17,0.247,0.245,0.247,0.245,12429.0,-0.40816326530612285,2.448979591836737
60,2013-12-18,0.246,0.245,0.246,0.245,24032.0,0.0,0.8163265306122457
61,2013-12-19,0.245,0.243,0.246,0.243,12299.0,-0.8230452674897127,1.234567901234569
62,2013-12-20,0.245,0.243,0.245,0.24,20094.0,0.0,2.469135802469138
63,2013-12-23,0.241,0.242,0.242,0.239,10873.0,-0.4132231404958681,2.4793388429752086
64,2013-12-24,0.242,0.242,0.245,0.241,13139.0,0.0,2.4793388429752086
65,2013-12-25,0.241,0.244,0.244,0.241,34834.0,0.8196721311475417,1.6393442622950833
66,2013-12-26,0.245,0.241,0.245,0.241,42333.0,-1.2448132780082999,1.6597510373443998
