date,open,close,high,low,amount,pcnt,pcnt_real_time
2020-03-20,0.971,0.96,0.988,0.94,1494027.0,,5.000000000000004
2020-03-23,0.928,0.887,0.93,0.884,1048986.0,-8.229988726042837,11.724915445321306
2020-03-24,0.905,0.902,0.913,0.864,1059188.0,1.6629711751662988,7.317073170731714
2020-03-25,0.926,0.935,0.942,0.921,999885.0,3.529411764705885,8.342245989304809
2020-03-26,0.921,0.912,0.931,0.91,689632.0,-2.521929824561406,3.5087719298245523
2020-03-27,0.921,0.904,0.928,0.902,644206.0,-0.8849557522123901,3.2079646017699144
2020-03-30,0.873,0.876,0.89,0.856,761005.0,-3.196347031963473,8.219178082191789
2020-03-31,0.883,0.871,0.892,0.869,527433.0,-0.5740528128587835,4.133180252583242
2020-04-01,0.87,0.885,0.904,0.867,664010.0,1.5819209039548037,4.180790960451981
2020-04-02,0.878,0.932,0.932,0.876,1068429.0,5.042918454935626,6.974248927038633
2020-04-03,0.927,0.921,0.933,0.913,967620.0,-1.1943539630836058,6.18892508143323
2020-04-07,0.944,0.949,0.958,0.941,596543.0,2.9504741833508867,4.741833508956789
2020-04-08,0.944,0.952,0.963,0.941,626489.0,0.3151260504201684,2.310924369747901
2020-04-09,0.957,0.948,0.96,0.942,415354.0,-0.4219409282700426,2.3206751054852344
2020-04-10,0.945,0.914,0.949,0.909,715157.0,-3.7199124726476933,5.579868708971547
2020-04-13,0.904,0.891,0.904,0.884,395478.0,-2.5813692480359167,7.295173961840623
2020-04-14,0.9,0.919,0.92,0.898,532819.0,3.0467899891186097,3.9173014145810696
2020-04-15,0.919,0.922,0.941,0.916,663213.0,0.3253796095444688,4.663774403470708
2020-04-16,0.915,0.926,0.93,0.905,884331.0,0.4319654427645792,3.8876889848812004
2020-04-17,0.934,0.943,0.96,0.934,1301106.0,1.8027571580063528,5.832449628844108
2020-04-20,0.934,0.952,0.952,0.934,890504.0,0.9453781512605051,2.731092436974781
2020-04-21,0.942,0.937,0.944,0.921,487351.0,-1.6008537886872893,3.3084311632870773
2020-04-22,0.929,0.941,0.943,0.923,422343.0,0.4250797024441969,2.444208289054188
2020-04-23,0.937,0.93,0.945,0.929,370356.0,-1.1827956989247201,2.3655913978494527
2020-04-24,0.929,0.912,0.936,0.906,586181.0,-1.9736842105263175,4.276315789473676
2020-04-27,0.912,0.911,0.919,0.898,707402.0,-0.10976948408342489,4.171240395170146
2020-04-28,0.911,0.927,0.932,0.888,527492.0,1.7259978425026985,4.74649406688242
2020-04-29,0.919,0.928,0.932,0.918,406497.0,0.10775862068965526,4.741379310344832
2020-04-30,0.935,0.977,0.981,0.935,946504.0,5.015353121801426,6.448311156601837
2020-05-06,0.969,1.008,1.01,0.966,1374216.0,3.075396825396828,7.440476190476186
2020-05-07,1.01,1.0,1.022,0.997,1205115.0,-0.8000000000000007,5.600000000000005
2020-05-08,1.003,1.013,1.025,1.003,1012073.0,1.2833168805528037,2.764067127344513
2020-05-11,1.016,1.01,1.026,1.001,825120.0,-0.2970297029702863,2.4752475247524885
2020-05-12,1.01,1.019,1.02,0.992,817619.0,0.8832188420019528,3.33660451422964
2020-05-13,1.008,1.022,1.028,1.006,878942.0,0.2935420743640033,3.5225048923679094
2020-05-14,1.02,1.02,1.031,1.012,750096.0,-0.19607843137254918,2.450980392156854
2020-05-15,1.021,1.034,1.048,1.019,934909.0,1.3539651837524191,3.4816247582205055
2020-05-18,1.046,0.993,1.046,0.989,906707.0,-4.128902316213498,5.941591137965766
2020-05-19,1.003,1.024,1.024,0.996,1196583.0,3.0273437500000027,5.566406250000004
2020-05-20,1.02,1.012,1.03,1.007,754998.0,-1.1857707509881432,3.359683794466406
2020-05-21,1.014,0.989,1.019,0.987,1081395.0,-2.325581395348839,4.347826086956526
2020-05-22,0.985,0.969,0.993,0.96,574228.0,-2.063983488132097,6.088751289989674
2020-05-25,0.961,0.95,0.964,0.944,643330.0,-2.0000000000000018,5.15789473684211
2020-05-26,0.952,0.98,0.981,0.952,614043.0,3.061224489795921,3.775510204081636
2020-05-27,0.98,0.962,0.98,0.958,491131.0,-1.871101871101873,3.0145530145530177
2020-05-28,0.962,0.959,0.967,0.939,877805.0,-0.31282586027111603,4.275286757038586
2020-05-29,0.953,0.96,0.97,0.949,439772.0,0.10416666666666677,3.2291666666666696
2020-06-01,0.97,1.015,1.016,0.969,993149.0,5.418719211822654,6.600985221674883
2020-06-02,1.017,1.029,1.039,1.015,988948.0,1.3605442176870761,6.802721088435371
2020-06-03,1.034,1.035,1.053,1.022,1069881.0,0.5797101449275368,3.6714975845410662
2020-06-04,1.032,1.032,1.046,1.027,614596.0,-0.2906976744185942,3.00387596899224
2020-06-05,1.031,1.041,1.043,1.027,618852.0,0.8645533141210276,1.8251681075888693
2020-06-08,1.05,1.045,1.068,1.043,768772.0,0.3827751196172252,3.9234449760765693
2020-06-09,1.043,1.045,1.048,1.035,601617.0,0.0,3.157894736842119
2020-06-10,1.039,1.054,1.056,1.037,697989.0,0.8538899430740151,1.9924098671726878
2020-06-11,1.056,1.044,1.065,1.038,638457.0,-0.957854406130269,2.681992337164753
2020-06-12,1.021,1.04,1.046,1.016,931348.0,-0.3846153846153849,4.7115384615384555
2020-06-15,1.027,1.016,1.04,1.016,610248.0,-2.362204724409451,2.9527559055118138
2020-06-16,1.031,1.044,1.046,1.031,755048.0,2.681992337164753,2.873563218390807
2020-06-17,1.049,1.045,1.049,1.033,483133.0,0.09569377990429569,1.7224880382775136
2020-06-18,1.052,1.074,1.075,1.042,812072.0,2.700186219739305,3.9106145251396685
2020-06-19,1.075,1.085,1.092,1.071,920972.0,1.0138248847926175,4.60829493087558
2020-06-22,1.085,1.104,1.108,1.083,591709.0,1.7210144927536346,3.3514492753623317
2020-06-23,1.108,1.108,1.109,1.091,553480.0,0.36101083032491,2.346570397111915
2020-06-24,1.108,1.117,1.118,1.103,619981.0,0.8057296329453802,2.4171888988361805
2020-06-29,1.108,1.097,1.117,1.089,614813.0,-1.8231540565177773,2.6435733819507874
2020-06-30,1.11,1.132,1.133,1.109,624361.0,3.0918727915194277,3.8869257950530076
2020-07-01,1.139,1.14,1.144,1.116,631785.0,0.701754385964913,3.0701754385964843
2020-07-02,1.135,1.159,1.165,1.127,842694.0,1.639344262295093,4.227782571182048
2020-07-03,1.156,1.158,1.168,1.134,586568.0,-0.08635578583766079,3.54058721934369
