o1, c1, h1, l1, o2, c2, h2, l2, o3, c3, h3, l3, o4, c4, h4, l4, o5, c5, h5, l5
3.45, 3.46, 3.514, 3.407, 3.407, 3.403, 3.467, 3.4, 3.41, 3.425, 3.425, 3.357, 3.425, 3.514, 3.517, 3.418, 3.514, 3.55, 3.553, 3.5
3.55, 3.564, 3.567, 3.528, 3.564, 3.553, 3.567, 3.528, 3.532, 3.517, 3.542, 3.478, 3.514, 3.528, 3.56, 3.46, 3.471, 3.432, 3.478, 3.389
3.435, 3.435, 3.457, 3.421, 3.439, 3.453, 3.478, 3.432, 3.435, 3.414, 3.489, 3.407, 3.418, 3.393, 3.425, 3.375, 3.282, 3.4, 3.4, 3.282
3.4, 3.432, 3.435, 3.4, 3.407, 3.421, 3.442, 3.4, 3.442, 3.414, 3.442, 3.4, 3.396, 3.385, 3.414, 3.378, 3.368, 3.325, 3.368, 3.314
3.261, 3.364, 3.368, 3.261, 3.36, 3.393, 3.4, 3.353, 3.321, 3.403, 3.421, 3.321, 3.41, 3.475, 3.482, 3.41, 3.46, 3.496, 3.496, 3.457
3.478, 3.396, 3.489, 3.393, 3.4, 3.464, 3.464, 3.393, 3.467, 3.421, 3.485, 3.421, 3.425, 3.364, 3.428, 3.353, 3.353, 3.375, 3.385, 3.339
3.403, 3.446, 3.453, 3.403, 3.446, 3.507, 3.514, 3.446, 3.5, 3.514, 3.528, 3.492, 3.51, 3.55, 3.553, 3.51, 3.55, 3.55, 3.557, 3.514
3.539, 3.571, 3.574, 3.539, 3.557, 3.582, 3.589, 3.557, 3.578, 3.542, 3.578, 3.525, 3.546, 3.596, 3.596, 3.546, 3.571, 3.635, 3.649, 3.567
3.607, 3.685, 3.699, 3.607, 3.71, 3.731, 3.739, 3.681, 3.731, 3.774, 3.781, 3.721, 3.767, 3.746, 3.789, 3.728, 3.742, 3.717, 3.781, 3.71
3.717, 3.771, 3.774, 3.71, 3.774, 3.806, 3.817, 3.774, 3.81, 3.821, 3.824, 3.76, 3.821, 3.842, 3.853, 3.821, 3.846, 3.853, 3.863, 3.824
3.853, 3.838, 3.881, 3.835, 3.771, 3.813, 3.849, 3.771, 3.796, 3.735, 3.803, 3.703, 3.731, 3.749, 3.764, 3.717, 3.742, 3.681, 3.742, 3.681
3.685, 3.614, 3.703, 3.596, 3.596, 3.51, 3.596, 3.446, 3.51, 3.589, 3.592, 3.51, 3.603, 3.589, 3.617, 3.567, 3.607, 3.599, 3.614, 3.56
3.599, 3.585, 3.599, 3.532, 3.557, 3.471, 3.574, 3.467, 3.46, 3.446, 3.467, 3.346, 3.45, 3.239, 3.45, 3.207, 3.236, 3.225, 3.31, 2.989
3.211, 3.289, 3.289, 3.203, 3.3, 3.232, 3.346, 3.225, 3.246, 3.239, 3.296, 3.189, 3.236, 3.3, 3.5, 3.218, 3.293, 3.36, 3.364, 3.289
3.307, 3.36, 3.368, 3.211, 3.339, 3.389, 3.428, 3.328, 3.407, 3.375, 3.432, 3.375, 3.282, 3.25, 3.375, 3.25, 3.239, 3.261, 3.268, 3.225
3.261, 3.364, 3.368, 3.261, 3.378, 3.464, 3.492, 3.371, 3.457, 3.435, 3.5, 3.428, 3.457, 3.496, 3.5, 3.439, 3.496, 3.539, 3.539, 3.478
3.525, 3.492, 3.557, 3.478, 3.46, 3.485, 3.507, 3.45, 3.485, 3.407, 3.514, 3.407, 3.393, 3.471, 3.471, 3.368, 3.478, 3.553, 3.557, 3.475
3.542, 3.571, 3.585, 3.514, 3.599, 3.51, 3.599, 3.503, 3.489, 3.503, 3.521, 3.46, 3.471, 3.432, 3.496, 3.432, 3.432, 3.414, 3.453, 3.36
3.418, 3.435, 3.475, 3.418, 3.446, 3.532, 3.532, 3.442, 3.542, 3.539, 3.571, 3.535, 3.535, 3.599, 3.599, 3.535, 3.425, 3.635, 3.649, 3.425
3.632, 3.589, 3.653, 3.585, 3.571, 3.596, 3.628, 3.571, 3.617, 3.614, 3.639, 3.574, 3.614, 3.678, 3.681, 3.614, 3.667, 3.692, 3.692, 3.667
3.681, 3.674, 3.71, 3.66, 3.671, 3.628, 3.685, 3.624, 3.607, 3.55, 3.685, 3.55, 3.528, 3.61, 3.614, 3.525, 3.599, 3.589, 3.632, 3.582
3.589, 3.614, 3.621, 3.585, 3.621, 3.632, 3.646, 3.61, 3.571, 3.621, 3.657, 3.56, 3.628, 3.699, 3.703, 3.621, 3.696, 3.728, 3.728, 3.692
3.706, 3.706, 3.739, 3.642, 3.706, 3.706, 3.717, 3.674, 3.696, 3.667, 3.728, 3.649, 3.681, 3.674, 3.692, 3.639, 3.66, 3.746, 3.753, 3.66
3.739, 3.742, 3.76, 3.717, 3.717, 3.764, 3.774, 3.714, 3.735, 3.792, 3.799, 3.731, 3.81, 3.821, 3.835, 3.749, 3.821, 3.853, 3.863, 3.81
3.86, 3.838, 3.874, 3.71, 3.567, 3.817, 3.86, 3.567, 3.817, 3.828, 3.881, 3.796, 3.803, 3.824, 3.863, 3.803, 3.824, 3.813, 3.831, 3.799
3.803, 3.824, 3.849, 3.778, 3.817, 3.899, 3.913, 3.817, 3.92, 3.899, 3.92, 3.86, 3.874, 3.906, 3.931, 3.874, 3.853, 3.86, 3.906, 3.838
3.821, 3.838, 3.856, 3.817, 3.846, 3.92, 3.92, 3.838, 3.885, 3.935, 3.938, 3.756, 3.935, 3.981, 3.981, 3.924, 4.006, 3.963, 4.006, 3.899
3.931, 4.024, 4.024, 3.931, 4.045, 4.063, 4.067, 4.028, 4.067, 4.074, 4.081, 4.042, 4.042, 3.96, 4.049, 3.942, 3.992, 3.931, 4.01, 3.924
3.978, 3.97, 3.978, 3.931, 3.97, 4.067, 4.067, 3.963, 4.028, 4.028, 4.085, 4.017, 4.028, 3.928, 4.049, 3.903, 3.906, 3.913, 3.931, 3.885
3.91, 3.81, 3.91, 3.789, 3.817, 3.803, 3.828, 3.778, 3.781, 3.699, 3.828, 3.607, 3.696, 3.76, 3.764, 3.685, 3.764, 3.717, 3.764, 3.714
3.749, 3.703, 3.749, 3.664, 3.71, 3.721, 3.742, 3.706, 3.703, 3.771, 3.774, 3.685, 3.749, 3.742, 3.799, 3.739, 3.731, 3.685, 3.731, 3.678
3.685, 3.632, 3.685, 3.621, 3.639, 3.646, 3.657, 3.603, 3.653, 3.674, 3.674, 3.635, 3.674, 3.614, 3.674, 3.607, 3.592, 3.657, 3.657, 3.578
3.657, 3.735, 3.764, 3.657, 3.771, 3.821, 3.824, 3.749, 3.817, 3.838, 3.849, 3.806, 3.849, 3.878, 3.878, 3.824, 3.878, 3.863, 3.878, 3.835
3.863, 3.842, 3.881, 3.835, 3.842, 3.828, 3.871, 3.817, 3.842, 3.842, 3.846, 3.813, 3.831, 3.881, 3.885, 3.831, 3.878, 3.92, 3.942, 3.878
3.945, 3.938, 3.945, 3.913, 3.853, 3.771, 3.899, 3.567, 3.657, 3.853, 3.856, 3.657, 3.853, 3.924, 3.953, 3.853, 3.913, 3.924, 3.949, 3.792
3.874, 3.917, 3.931, 3.874, 3.931, 3.942, 4.138, 3.917, 3.945, 3.942, 3.96, 3.924, 3.942, 3.903, 3.942, 3.878, 3.896, 3.91, 3.938, 3.896
3.799, 3.917, 3.924, 3.789, 3.917, 3.849, 3.92, 3.846, 3.849, 3.824, 3.849, 3.813, 3.828, 3.817, 3.842, 3.813, 3.842, 3.789, 3.849, 3.781
3.789, 3.739, 3.796, 3.724, 3.717, 3.731, 3.749, 3.678, 3.735, 3.753, 3.792, 3.731, 3.764, 3.799, 3.803, 3.742, 3.796, 3.731, 3.799, 3.731
3.739, 3.792, 3.803, 3.728, 3.806, 3.803, 3.821, 3.792, 3.803, 3.821, 3.824, 3.774, 3.806, 3.842, 3.842, 3.803, 3.828, 3.817, 3.831, 3.789
3.785, 3.71, 3.785, 3.706, 3.71, 3.724, 3.735, 3.685, 3.724, 3.728, 3.764, 3.714, 3.728, 3.692, 3.76, 3.692, 3.689, 3.621, 3.689, 3.614
3.621, 3.603, 3.646, 3.582, 3.607, 3.667, 3.667, 3.589, 3.667, 3.689, 3.696, 3.66, 3.696, 3.71, 3.721, 3.689, 3.703, 3.66, 3.703, 3.66
3.66, 3.635, 3.664, 3.614, 3.635, 3.678, 3.685, 3.621, 3.721, 3.789, 3.789, 3.703, 3.789, 3.817, 3.838, 3.785, 3.781, 3.878, 3.885, 3.781
3.863, 3.874, 3.913, 3.838, 3.86, 3.867, 3.903, 3.835, 3.871, 3.896, 3.903, 3.867, 3.888, 3.874, 3.899, 3.86, 3.853, 3.949, 3.949, 3.842
3.949, 4.063, 4.067, 3.949, 4.038, 4.074, 4.095, 4.024, 4.085, 4.117, 4.117, 4.06, 4.099, 4.056, 4.131, 4.052, 4.063, 4.124, 4.124, 4.049
4.131, 4.202, 4.202, 4.131, 4.213, 4.192, 4.22, 4.174, 4.195, 4.195, 4.22, 4.167, 4.195, 4.135, 4.202, 4.12, 4.142, 4.11, 4.142, 4.07
4.056, 4.092, 4.102, 4.028, 4.085, 3.949, 4.127, 3.92, 3.935, 3.97, 3.974, 3.867, 3.97, 3.917, 4.038, 3.913, 3.917, 3.96, 3.96, 3.863
3.963, 4.042, 4.045, 3.953, 4.045, 4.038, 4.049, 3.995, 4.042, 4.017, 4.06, 4.013, 4.02, 4.013, 4.031, 3.967, 4.024, 3.999, 4.038, 3.981
3.981, 3.849, 3.981, 3.842, 3.885, 3.853, 3.885, 3.817, 3.849, 3.853, 3.878, 3.796, 3.853, 3.896, 3.896, 3.846, 3.892, 3.871, 3.899, 3.849
3.903, 3.956, 3.956, 3.871, 3.96, 3.978, 3.995, 3.96, 3.956, 3.963, 3.97, 3.924, 3.963, 3.863, 3.988, 3.863, 3.86, 3.935, 3.981, 3.813
3.963, 3.97, 3.981, 3.928, 3.97, 3.97, 3.995, 3.949, 3.978, 3.985, 3.995, 3.974, 3.985, 3.931, 3.985, 3.92, 3.924, 3.846, 3.935, 3.838
3.853, 3.824, 3.906, 3.803, 3.824, 3.885, 3.885, 3.821, 3.899, 3.888, 3.906, 3.874, 3.885, 3.881, 3.906, 3.867, 3.871, 3.92, 3.924, 3.871
3.924, 3.967, 3.97, 3.906, 3.974, 4.003, 4.003, 3.974, 4.013, 4.02, 4.035, 3.999, 4.01, 4.003, 4.013, 3.985, 4.003, 4.035, 4.038, 3.999
4.035, 4.006, 4.035, 3.999, 3.999, 4.003, 4.006, 3.978, 4.006, 3.999, 4.017, 3.995, 3.97, 4.017, 4.017, 3.97, 4.006, 3.949, 4.02, 3.945
3.96, 3.928, 3.96, 3.871, 3.92, 3.91, 3.938, 3.899, 3.91, 3.871, 3.913, 3.871, 3.871, 3.785, 3.871, 3.785, 3.81, 3.671, 3.81, 3.671
3.678, 3.721, 3.721, 3.671, 3.71, 3.749, 3.756, 3.706, 3.746, 3.781, 3.781, 3.731, 3.774, 3.796, 3.813, 3.774, 3.785, 3.735, 3.785, 3.731
3.731, 3.739, 3.785, 3.721, 3.735, 3.703, 3.739, 3.674, 3.717, 3.799, 3.799, 3.717, 3.806, 3.792, 3.806, 3.649, 3.785, 3.781, 3.803, 3.774
3.785, 3.721, 3.785, 3.714, 3.717, 3.714, 3.717, 3.674, 3.706, 3.685, 3.706, 3.671, 3.703, 3.703, 3.739, 3.699, 3.703, 3.735, 3.735, 3.657
3.735, 3.735, 3.781, 3.731, 3.739, 3.781, 3.781, 3.735, 3.806, 3.821, 3.821, 3.792, 3.817, 3.806, 3.828, 3.799, 3.806, 3.853, 3.86, 3.803
3.846, 3.81, 3.867, 3.806, 3.81, 3.821, 3.831, 3.789, 3.831, 3.81, 3.838, 3.81, 3.81, 3.781, 3.81, 3.753, 3.781, 3.824, 3.824, 3.778
3.824, 3.813, 3.828, 3.789, 3.806, 3.785, 3.824, 3.781, 3.799, 3.835, 3.835, 3.778, 3.835, 3.853, 3.853, 3.824, 3.846, 3.846, 3.849, 3.828
3.842, 3.888, 3.892, 3.838, 3.892, 3.906, 3.91, 3.888, 3.906, 3.874, 3.906, 3.871, 3.878, 3.856, 3.881, 3.849, 3.856, 3.749, 3.86, 3.739
3.749, 3.785, 3.785, 3.749, 3.789, 3.813, 3.831, 3.764, 3.813, 3.838, 3.842, 3.81, 3.828, 3.817, 3.828, 3.803, 3.817, 3.867, 3.867, 3.817
3.874, 3.888, 3.91, 3.856, 3.888, 3.928, 3.931, 3.888, 3.928, 3.956, 3.956, 3.92, 3.953, 3.985, 3.985, 3.942, 3.985, 4.024, 4.031, 3.974
4.024, 4.013, 4.028, 4.003, 4.013, 4.02, 4.035, 3.995, 4.028, 4.049, 4.049, 3.992, 4.035, 3.988, 4.056, 3.985, 3.985, 3.985, 4.013, 3.981
3.981, 4.038, 4.045, 3.981, 4.045, 4.095, 4.099, 4.038, 4.095, 4.102, 4.11, 4.07, 4.099, 4.07, 4.117, 4.056, 4.07, 4.042, 4.07, 4.013
4.031, 4.049, 4.077, 4.02, 4.049, 4.038, 4.06, 4.024, 4.038, 4.095, 4.095, 4.038, 4.095, 4.067, 4.11, 4.052, 4.074, 4.063, 4.088, 4.017
4.06, 4.099, 4.102, 4.06, 4.102, 4.17, 4.174, 4.102, 4.17, 4.209, 4.227, 4.17, 4.213, 4.217, 4.245, 4.192, 4.224, 4.267, 4.27, 4.217
4.274, 4.227, 4.281, 4.209, 4.227, 4.284, 4.284, 4.224, 4.288, 4.302, 4.306, 4.27, 4.313, 4.334, 4.345, 4.281, 4.316, 4.295, 4.359, 4.288
4.284, 4.316, 4.327, 4.284, 4.331, 4.384, 4.384, 4.327, 4.391, 4.409, 4.409, 4.377, 4.42, 4.409, 4.42, 4.356, 4.409, 4.381, 4.438, 4.37
4.37, 4.434, 4.441, 4.37, 4.456, 4.498, 4.513, 4.448, 4.516, 4.509, 4.523, 4.466, 4.481, 4.509, 4.538, 4.481, 4.509, 4.502, 4.516, 4.452
4.502, 4.531, 4.538, 4.484, 4.548, 4.495, 4.552, 4.488, 4.495, 4.423, 4.506, 4.399, 4.423, 4.427, 4.441, 4.409, 4.42, 4.388, 4.438, 4.374
4.363, 4.441, 4.441, 4.363, 4.466, 4.516, 4.516, 4.448, 4.531, 4.588, 4.591, 4.523, 4.627, 4.623, 4.638, 4.577, 4.62, 4.655, 4.662, 4.605
4.673, 4.677, 4.687, 4.634, 4.691, 4.712, 4.716, 4.648, 4.691, 4.72, 4.723, 4.67, 4.727, 4.712, 4.777, 4.673, 4.702, 4.77, 4.78, 4.695
4.748, 4.812, 4.819, 4.748, 4.816, 4.655, 4.827, 4.648, 4.648, 4.695, 4.698, 4.609, 4.677, 4.727, 4.727, 4.662, 4.727, 4.77, 4.777, 4.712
4.762, 4.702, 4.762, 4.687, 4.698, 4.766, 4.766, 4.698, 4.755, 4.83, 4.834, 4.741, 4.852, 4.823, 4.873, 4.798, 4.816, 4.841, 4.848, 4.78
4.848, 4.894, 4.894, 4.844, 4.894, 4.926, 4.934, 4.891, 4.941, 5.012, 5.012, 4.923, 5.016, 5.016, 5.026, 4.944, 5.001, 4.991, 5.019, 4.962
4.941, 4.994, 4.994, 4.912, 4.984, 4.973, 5.023, 4.937, 4.969, 4.994, 4.998, 4.93, 4.969, 4.919, 5.016, 4.916, 4.912, 4.869, 4.923, 4.777
4.887, 4.937, 4.937, 4.877, 4.937, 4.891, 4.951, 4.887, 4.884, 4.83, 4.909, 4.827, 4.823, 4.77, 4.841, 4.741, 4.798, 4.784, 4.812, 4.762
