,code,name,start_time,start_price_position,start_price,total_cash,cost_price,position
0,sh510500,500ETF(高位网格),2021-10-26,31.26,7.981,10000,7.859,900
1,sh515700,新能车(高位网格),2021-11-26,2.65,3.396,10000,3.086,2100
2,sz159928,消费,2021-09-07,82.76,1.06,40000,1.055,13700
3,sh512010,医药,2021-09-07,80.47,0.673,40000,0.615,52700
4,sh513050,中概互联,2021-09-07,84.41,1.579,40000,1.348,27500
5,sh512690,白酒,2022-01-14,60.08,0.865,20000,0.787,9900
6,sh515790,光伏(高位网格),2021-10-15,14.53,1.744,10000,1.592,5800
7,sh510300,300ETF,2021-10-26,5.04,15,10000,4.544,2000
8,sh512000,券商,2022-04-07,79.91,0.929,10000,0.932,6300
9,sh516950,基建,2022-04-07,72.18,1.019,10000,1.046,4800
10,sz159997,电子,2022-04-14,90.0,0.928,10000,0.928,8500
