,date,code,name,start_time,start_price,start_price_position,cost_price,total_cash,position,real_position_rate,current_price,min_price,max_price,current_rate,loss_rate
0,2022-02-08,sh510300,300ETF,2021-10-26,15.0,5.04,4.912,10000,1200,58.944,4.604,4.515,5.858,92.503811638964,
1,2022-02-09,sh510300,300ETF,2021-10-26,15.0,5.04,4.912,10000,1200,58.944,4.643,4.515,5.858,89.26451862590432,5.4763843648208494
2,2022-02-11,sh510300,300ETF,2021-10-26,15.0,5.04,4.912,10000,1200,58.944,4.596,4.515,5.858,93.1716727857818,6.433224755700323
3,2022-02-15,sh510300,300ETF,2021-10-26,15.0,5.04,4.912,10000,1200,58.944,4.589,4.515,5.858,93.75700560207764,6.575732899022792
4,2022-02-17,sh510300,300ETF,2021-10-26,15.0,5.04,4.912,10000,1200,58.944,4.62,4.515,5.858,91.17156377154642,5.94462540716612
5,2022-02-23,sh510300,300ETF,2021-10-26,15.0,5.04,4.912,10000,1200,58.944,4.615,4.515,5.858,91.58739495741744,6.046416938110744
6,2022-03-08,sh510300,300ETF,2021-10-26,15.0,5.04,4.912,10000,1200,58.944,4.264,4.248,5.448,98.48898769336128,13.192182410423449
7,2022-03-11,sh510300,300ETF,2021-10-26,15.0,5.04,4.912,10000,1200,58.944,4.312,4.07,5.383,79.34254382877091,12.21498371335504
8,2022-03-24,sh510300,300ETF,2021-10-26,15.0,5.04,4.544,10000,2000,90.88,4.246,3.942,5.319,75.20364756286403,6.558098591549277
9,2022-04-01,sh510300,300ETF,2021-10-26,15.0,5.04,4.544,10000,2000,90.88,4.269,3.942,5.319,73.40047778318193,6.051936619718298
10,2022-04-08,sh510300,300ETF,2021-10-26,15.0,5.04,4.544,10000,2000,90.88000000000001,4.233,3.942,5.319,76.22715602483808,6.84419014084507
