,date,code,name,start_time,start_price,start_price_position,cost_price,total_cash,position,real_position_rate,current_price,min_price,max_price,current_rate,loss_rate
0,2022-01-28,sh510500,500ETF(高位网格),2021-10-26,7.981,31.26,7.859,10000,900,70.731,7.381,6.688,8.649,61.65569826835231,
1,2022-02-08,sh510500,500ETF(高位网格),2021-10-26,7.981,31.26,7.859,10000,900,70.731,7.576,6.688,8.649,51.51439091690301,
2,2022-02-09,sh510500,500ETF(高位网格),2021-10-26,7.981,31.26,7.859,10000,900,70.731,7.68,6.688,8.649,46.21191620255807,2.277643466089837
3,2022-02-11,sh510500,500ETF(高位网格),2021-10-26,7.981,31.26,7.859,10000,900,70.731,7.587,6.688,8.649,50.95012106685948,3.461000127242655
4,2022-02-15,sh510500,500ETF(高位网格),2021-10-26,7.981,31.26,7.859,10000,900,70.731,7.588,6.688,8.649,50.898864381236365,3.448275862068964
5,2022-02-17,sh510500,500ETF(高位网格),2021-10-26,7.981,31.26,7.859,10000,900,70.731,7.606,6.688,8.649,49.97739734111825,3.219239088942615
6,2022-02-23,sh510500,500ETF(高位网格),2021-10-26,7.981,31.26,7.859,10000,900,70.731,7.735,6.688,8.649,43.436678271185215,1.577808881537087
7,2022-03-08,sh510500,500ETF(高位网格),2021-10-26,7.981,31.26,7.859,10000,900,70.731,7.204,6.688,8.649,71.09559784268039,8.334393688764477
8,2022-03-11,sh510500,500ETF(高位网格),2021-10-26,7.981,31.26,7.859,10000,900,70.731,7.294,6.688,8.649,66.26702027775954,7.189209823132719
9,2022-03-24,sh510500,500ETF(高位网格),2021-10-26,7.981,31.26,7.859,10000,900,70.731,7.126,6.533,8.649,69.03392953669577,9.326886372311995
