,date,code,name,start_time,start_price,start_price_position,cost_price,total_cash,position,real_position_rate,current_price,min_price,max_price,current_rate,loss_rate
0,2022-01-28,sh512010,医药,2021-09-07,0.673,80.47,0.632,40000,46000,72.68,0.53,0.529,0.907,99.64971517898094,16.1392
1,2022-02-08,sh512010,医药,2021-09-07,0.673,80.47,0.625,40000,49100,76.71875,0.529,0.516,0.907,95.58863613515852,15.36
2,2022-02-11,sh512010,医药,2021-09-07,0.673,80.47,0.62,40000,51100,79.205,0.509,0.508,0.907,99.6607380928793,17.903225806451612
3,2022-02-15,sh512010,医药,2021-09-07,0.673,80.47,0.624,40000,49300,76.908,0.533,0.506,0.907,91.09248801397166,14.583333333333329
4,2022-02-17,sh512010,医药,2021-09-07,0.673,80.47,0.624,40000,49300,76.908,0.534,0.506,0.907,90.77130977072466,14.42307692307692
5,2022-02-23,sh512010,医药,2021-09-07,0.673,80.47,0.624,40000,49300,76.908,0.539,0.506,0.907,89.17438728383888,13.621794871794863
6,2022-03-08,sh512010,医药,2021-09-07,0.673,80.47,0.62,40000,50900,78.89500000000001,0.502,0.497,0.855,98.15486037627224,19.032258064516128
7,2022-03-11,sh512010,医药,2021-09-07,0.673,80.47,0.62,40000,50900,78.89500000000001,0.516,0.468,0.855,83.79802607367928,16.774193548387096
8,2022-03-24,sh512010,医药,2021-09-07,0.673,80.47,0.622,40000,49100,76.3505,0.544,0.468,0.855,75.0294279048055,12.54019292604501
9,2022-04-01,sh512010,医药,2021-09-07,0.673,80.47,0.62,40000,50000,77.5,0.532,0.468,0.855,78.7308101905747,14.193548387096769
