,date,code,name,start_time,start_price,start_price_position,cost_price,total_cash,position,real_position_rate,current_price,min_price,max_price,current_rate,loss_rate
0,2022-01-28,sh512690,白酒,2022-01-14,0.865,60.08,0.863,20000,6300,27.1845,0.845,0.691,1.213,64.24516037780857,2.08557
1,2022-02-08,sh512690,白酒,2022-01-14,0.865,60.08,0.85,20000,9800,41.65,0.82,0.691,1.213,69.58222135268733,3.529
2,2022-02-09,sh512690,白酒,2022-01-14,0.865,60.08,0.85,20000,9800,41.65,0.86,0.691,1.213,61.1182039192736,-1.176470588235295
3,2022-02-11,sh512690,白酒,2022-01-14,0.865,60.08,0.85,20000,9800,41.65,0.852,0.691,1.213,62.77906436006337,-0.235294117647059
4,2022-02-15,sh512690,白酒,2022-01-14,0.865,60.08,0.85,20000,9800,41.65,0.881,0.691,1.213,56.8308894428013,-3.6470588235294152
5,2022-02-17,sh512690,白酒,2022-01-14,0.865,60.08,0.85,20000,9800,41.65,0.883,0.691,1.213,56.42791699427646,-3.882352941176474
6,2022-02-23,sh512690,白酒,2022-01-14,0.865,60.08,0.821,20000,4800,19.704,0.877,0.691,1.213,57.63958605406568,-6.820950060901346
7,2022-03-08,sh512690,白酒,2022-01-14,0.865,60.08,0.821,20000,4800,19.704,0.795,0.691,1.208,74.90030064541575,3.166869671132754
8,2022-03-11,sh512690,白酒,2022-01-14,0.865,60.08,0.821,20000,4800,19.704,0.822,0.691,1.208,68.92117725345817,-0.1218026796589526
9,2022-03-24,sh512690,白酒,2022-01-14,0.865,60.08,0.787,20000,9900,38.9565,0.765,0.715,1.208,87.11131088731791,2.7954256670902184
