,date,code,name,start_time,start_price,start_price_position,cost_price,total_cash,position,real_position_rate,current_price,min_price,max_price,current_rate,loss_rate
0,2022-01-28,sh513050,中概互联,2021-09-07,1.579,84.41,1.386,40000,23100,80.0415,1.213,1.195,2.65,98.12277850257152,12.48196
1,2022-02-08,sh513050,中概互联,2021-09-07,1.579,84.41,1.388,40000,22700,78.769,1.235,1.195,2.65,95.86586784719788,11.034
2,2022-02-09,sh513050,中概互联,2021-09-07,1.579,84.41,1.39,40000,22300,77.49249999999999,1.279,1.195,2.65,91.47021728229085,7.985611510791367
3,2022-02-11,sh513050,中概互联,2021-09-07,1.579,84.41,1.39,40000,22300,77.49249999999999,1.275,1.195,2.65,91.86352354402794,8.273381294964029
4,2022-02-15,sh513050,中概互联,2021-09-07,1.579,84.41,1.387,40000,22700,78.71225000000001,1.247,1.195,2.65,94.65171249083998,10.09372746935832
5,2022-02-17,sh513050,中概互联,2021-09-07,1.579,84.41,1.387,40000,22700,78.71225000000001,1.261,1.195,2.65,93.24987903107191,9.084354722422502
6,2022-02-23,sh513050,中概互联,2021-09-07,1.579,84.41,1.366,40000,25500,87.0825,1.202,1.181,2.65,97.81918581136227,12.005856515373363
7,2022-03-08,sh513050,中概互联,2021-09-07,1.579,84.41,1.348,40000,27500,92.675,1.05,1.041,2.425,98.98204017777196,22.106824925816028
8,2022-03-11,sh513050,中概互联,2021-09-07,1.579,84.41,1.348,40000,27500,92.675,1.02,0.97,2.39,94.426205562152,24.33234421364985
9,2022-03-24,sh513050,中概互联,2021-09-07,1.579,84.41,1.348,40000,27500,92.675,1.052,0.863,2.234,79.17920691125326,21.958456973293767
10,2022-04-01,sh513050,中概互联,2021-09-07,1.579,84.41,1.348,40000,27500,92.675,1.031,0.863,2.18,80.80539313168728,23.51632047477746
11,2022-04-08,sh513050,中概互联,2021-09-07,1.579,84.41,1.348,40000,27500,92.675,1.019,0.863,2.139,81.69371123003263,24.406528189910993
