,date,code,name,start_time,start_price,start_price_position,cost_price,total_cash,position,real_position_rate,current_price,min_price,max_price,current_rate,loss_rate
0,2022-01-28,sh515700,新能车(高位网格),2021-11-26,3.396,2.65,3.086,10000,2100,64.806,2.718,1.714,3.476,34.79033465097765,
1,2022-02-08,sh515700,新能车(高位网格),2021-11-26,3.396,2.65,3.086,10000,2100,64.806,2.641,1.714,3.476,38.85491076062701,
2,2022-02-09,sh515700,新能车(高位网格),2021-11-26,3.396,2.65,3.086,10000,2100,64.806,2.672,1.714,3.476,37.2044499786244,13.41542449773168
3,2022-02-11,sh515700,新能车(高位网格),2021-11-26,3.396,2.65,3.086,10000,2100,64.806,2.565,1.714,3.476,42.984612494151456,16.882696046662343
4,2022-02-15,sh515700,新能车(高位网格),2021-11-26,3.396,2.65,3.086,10000,2100,64.806,2.695,1.714,3.476,35.99224154239115,12.6701231367466
5,2022-02-17,sh515700,新能车(高位网格),2021-11-26,3.396,2.65,3.086,10000,2100,64.806,2.778,1.714,3.476,31.702171878652173,9.980557355800384
6,2022-02-23,sh515700,新能车(高位网格),2021-11-26,3.396,2.65,3.086,10000,2100,64.806,2.832,1.714,3.476,28.97932816196372,8.230719377835385
7,2022-03-08,sh515700,新能车(高位网格),2021-11-26,3.396,2.65,3.086,10000,2100,64.806,2.439,1.714,3.476,50.10860504390553,20.96565132858068
8,2022-03-11,sh515700,新能车(高位网格),2021-11-26,3.396,2.65,3.086,10000,2100,64.806,2.538,1.714,3.476,44.48126387694798,17.75761503564485
9,2022-03-24,sh515700,新能车(高位网格),2021-11-26,3.396,2.65,3.086,10000,2100,64.806,2.596,1.714,3.476,41.28554175538817,15.878159429682432
10,2022-04-01,sh515700,新能车(高位网格),2021-11-26,3.396,2.65,3.086,10000,2100,64.806,2.542,1.714,3.476,44.25853590041975,17.62799740764744
