,date,code,name,start_time,start_price,start_price_position,cost_price,total_cash,position,real_position_rate,current_price,min_price,max_price,current_rate,loss_rate
0,2022-01-28,sh515790,光伏(高位网格),2021-10-15,1.744,14.53,1.6,10000,5800,92.8,1.455,0.976,1.925,41.21206961378711,
1,2022-02-08,sh515790,光伏(高位网格),2021-10-15,1.744,14.53,1.6,10000,5800,92.8,1.432,0.976,1.925,43.55797572858056,
2,2022-02-09,sh515790,光伏(高位网格),2021-10-15,1.744,14.53,1.6,10000,5800,92.8,1.435,0.976,1.925,43.249859830796,10.312500000000002
3,2022-02-11,sh515790,光伏(高位网格),2021-10-15,1.744,14.53,1.6,10000,5800,92.8,1.351,0.976,1.925,52.13062147036869,15.562500000000009
4,2022-02-15,sh515790,光伏(高位网格),2021-10-15,1.744,14.53,1.6,10000,5800,92.8,1.397,0.976,1.925,47.20113068141699,12.687500000000004
5,2022-02-17,sh515790,光伏(高位网格),2021-10-15,1.744,14.53,1.6,10000,5800,92.8,1.431,0.976,1.925,43.66082448774485,10.562500000000002
6,2022-02-23,sh515790,光伏(高位网格),2021-10-15,1.744,14.53,1.6,10000,5800,92.8,1.502,0.976,1.925,36.53144839763358,6.125000000000005
7,2022-03-08,sh515790,光伏(高位网格),2021-10-15,1.744,14.53,1.595,10000,5800,92.51,1.513,0.976,1.925,35.45714318626638,5.141065830721008
8,2022-03-11,sh515790,光伏(高位网格),2021-10-15,1.744,14.53,1.592,10000,5800,92.336,1.557,0.976,1.925,31.23663810876898,2.1984924623115667
9,2022-03-24,sh515790,光伏(高位网格),2021-10-15,1.744,14.53,1.592,10000,5800,92.33600000000001,1.468,0.981,1.925,40.204940613612614,7.788944723618096
