,date,code,name,start_time,start_price,start_price_position,cost_price,total_cash,position,real_position_rate,current_price,min_price,max_price,current_rate,loss_rate
0,2022-01-28,sz159928,消费,2021-09-07,1.06,82.76,1.073,40000,11300,30.31225,1.104,0.98,1.545,73.82783638993695,
1,2022-02-08,sz159928,消费,2021-09-07,1.06,82.76,1.074,40000,11900,31.9515,1.093,0.98,1.545,76.02756247621389,
2,2022-02-09,sz159928,消费,2021-09-07,1.06,82.76,1.068,40000,10700,28.569,1.125,0.98,1.545,69.68856002291788,-5.337078651685387
3,2022-02-11,sz159928,消费,2021-09-07,1.06,82.76,1.068,40000,10700,28.569,1.127,0.98,1.545,69.29838086108465,-5.524344569288384
4,2022-02-15,sz159928,消费,2021-09-07,1.06,82.76,1.068,40000,10700,28.569,1.142,0.98,1.545,66.39392060699547,-6.928838951310847
5,2022-02-17,sz159928,消费,2021-09-07,1.06,82.76,1.068,40000,10700,28.569,1.14,0.98,1.545,66.77897032935063,-6.74157303370785
6,2022-02-23,sz159928,消费,2021-09-07,1.06,82.76,1.067,40000,10700,28.54225,1.124,0.98,1.545,69.88390980045092,-5.342080599812574
7,2022-03-08,sz159928,消费,2021-09-07,1.06,82.76,1.067,40000,10700,28.54225,1.03,0.98,1.365,84.98251458634483,3.467666354264285
8,2022-03-11,sz159928,消费,2021-09-07,1.06,82.76,1.063,40000,10700,28.43525,1.054,0.98,1.36,77.78518311442349,0.8466603951081748
9,2022-03-24,sz159928,消费,2021-09-07,1.06,82.76,1.058,40000,13700,36.2365,1.013,0.933,1.36,78.16913187695876,4.253308128544438
10,2022-04-01,sz159928,消费,2021-09-07,1.06,82.76,1.059,40000,13100,34.682249999999996,1.016,0.933,1.36,77.38440497187888,4.060434372049096
